"","LAname","prop_deprived"
"1","Aberdeen City",0.049469964664311
"2","Aberdeenshire",0.0147058823529412
"3","Angus",0.0387096774193548
"4","Argyll and Bute",0.088
"5","City of Edinburgh",0.0804020100502513
"6","Clackmannanshire",0.180555555555556
"7","Dumfries and Galloway",0.0696517412935323
"8","Dundee City",0.313829787234043
"9","East Ayrshire",0.220858895705521
"10","East Dunbartonshire",0.0307692307692308
"11","East Lothian",0.0227272727272727
"12","East Renfrewshire",0.0327868852459016
"13","Falkirk",0.107476635514019
"14","Fife",0.153846153846154
"15","Glasgow City",0.39142091152815
"16","Highland",0.0705128205128205
"17","Inverclyde",0.368421052631579
"18","Midlothian",0.0434782608695652
"19","Moray",0.00793650793650794
"20","Na h-Eileanan Siar",0
"21","North Ayrshire",0.268817204301075
"22","North Lanarkshire",0.243847874720358
"23","Orkney Islands",0
"24","Perth and Kinross",0.0376344086021505
"25","Renfrewshire",0.217777777777778
"26","Scottish Borders",0.048951048951049
"27","Shetland Islands",0
"28","South Ayrshire",0.130718954248366
"29","South Lanarkshire",0.139211136890951
"30","Stirling",0.0743801652892562
"31","West Dunbartonshire",0.31404958677686
"32","West Lothian",0.0794979079497908
